service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2016/01/01 05:00:00+00,Rail,Blue Line,1145383,60283,19,1570201,50652,31,1
2016/01/01 05:00:00+00,Ferry,Boat-F1,59503,2975,20,,,31,2
2016/01/01 05:00:00+00,Ferry,Boat-F3,16191,810,20,,,31,3
2016/01/01 05:00:00+00,Ferry,Boat-F4,8172,409,20,,,31,4
2016/01/01 05:00:00+00,Bus,Bus,6985521,367659,19,8225148,265328,31,5
2016/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2827718,134653,21,2794459,90144,31,6
2016/01/01 05:00:00+00,Rail,Green Line,3417417,179864,19,4737150,152811,31,7
2016/01/01 05:00:00+00,Rail,Orange Line,4094142,215481,19,5277916,170255,31,8
2016/01/01 05:00:00+00,Rail,Red Line,4696897,247205,19,6000298,193558,31,9
2016/01/01 05:00:00+00,Bus,Silver Line,669761,35251,19,772265,24912,31,10
2016/01/01 05:00:00+00,The RIDE,The RIDE,113748,5987,19,173378,5593,31,11
2016/02/01 05:00:00+00,Rail,Blue Line,1223715,61186,20,1517324,52322,29,12
2016/02/01 05:00:00+00,Ferry,Boat-F1,58596,2790,21,,,29,13
2016/02/01 05:00:00+00,Ferry,Boat-F3,16811,841,20,,,29,14
2016/02/01 05:00:00+00,Ferry,Boat-F4,8539,427,20,,,29,15
2016/02/01 05:00:00+00,Bus,Bus,7469019,373451,20,8191566,282468,29,16
2016/02/01 05:00:00+00,Commuter Rail,Commuter Rail,2615220,124534,21,2584080,89106,29,17
2016/02/01 05:00:00+00,Rail,Green Line,3813404,190670,20,4817192,166110,29,18
2016/02/01 05:00:00+00,Rail,Orange Line,4360890,218045,20,5222213,180076,29,19
2016/02/01 05:00:00+00,Rail,Red Line,5081211,254061,20,6094219,210145,29,20
2016/02/01 05:00:00+00,Bus,Silver Line,730265,36513,20,734150,25316,29,21
2016/02/01 05:00:00+00,The RIDE,The RIDE,113282,5664,20,165757,5716,29,22
2016/03/01 05:00:00+00,Rail,Blue Line,1472440,64019,23,1756951.6,56676,31,23
2016/03/01 05:00:00+00,Ferry,Boat-F1,67941,2954,23,,,31,24
2016/03/01 05:00:00+00,Ferry,Boat-F3,20169,877,23,,,31,25
2016/03/01 05:00:00+00,Ferry,Boat-F4,13081,569,23,,,31,26
2016/03/01 05:00:00+00,Bus,Bus,8679363,377364,23,9456633,305052,31,27
2016/03/01 05:00:00+00,Commuter Rail,Commuter Rail,3084894,134126,23,3048753,98347,31,28
2016/03/01 05:00:00+00,Rail,Green Line,4499554,195633,23,5413830.4700000035,174640,31,29
2016/03/01 05:00:00+00,Rail,Orange Line,5092407,221409,23,5893406.28,190110,31,30
2016/03/01 05:00:00+00,Rail,Red Line,5992503,260544,23,6926056,223421,31,31
2016/03/01 05:00:00+00,Bus,Silver Line,901662,39203,23,833048,26873,31,32
2016/03/01 05:00:00+00,The RIDE,The RIDE,137440,5976,23,194761,6283,31,33
2016/04/01 04:00:00+00,Rail,Blue Line,1414182,67342,21,1772106.8,59070,30,34
2016/04/01 04:00:00+00,Ferry,Boat-F1,65615,3125,21,,,30,35
2016/04/01 04:00:00+00,Ferry,Boat-F3,20486,976,21,,,30,36
2016/04/01 04:00:00+00,Ferry,Boat-F4,16274,775,21,,,30,37
2016/04/01 04:00:00+00,Bus,Bus,6231752,389485,16,8822203,294073,30,38
2016/04/01 04:00:00+00,Commuter Rail,Commuter Rail,2732306,130110,21,2699878,89996,30,39
2016/04/01 04:00:00+00,Rail,Green Line,4384568,208789,21,5588800.44,186293,30,40
2016/04/01 04:00:00+00,Rail,Orange Line,4643144,221102,21,5577146.75,185905,30,41
2016/04/01 04:00:00+00,Rail,Red Line,5533494,263500,21,6621164,220705,30,42
2016/04/01 04:00:00+00,Bus,Silver Line,650905,40682,16,823949,27465,30,43
2016/04/01 04:00:00+00,The RIDE,The RIDE,125259,5965,21,182090,6070,30,44
2016/05/01 04:00:00+00,Rail,Blue Line,1419431,67592,21,1798362.1,58012,31,45
2016/05/01 04:00:00+00,Ferry,Boat-F1,69197,3295,21,,,31,46
2016/05/01 04:00:00+00,Ferry,Boat-F3,21414,1020,21,,,31,47
2016/05/01 04:00:00+00,Ferry,Boat-F4,20506,976,21,,,31,48
2016/05/01 04:00:00+00,Bus,Bus,8092982,385380,21,8963275,289138,31,49
2016/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2656886,120768,22,2625761,84702,31,50
2016/10/01 04:00:00+00,Ferry,Boat-F3,22053,1050,21,,,31,51
2016/10/01 04:00:00+00,Ferry,Boat-F4,22379,1066,21,,,31,52
2016/10/01 04:00:00+00,Bus,Bus,7676816,383841,20,8712708,281055,31,53
2016/10/01 04:00:00+00,Commuter Rail,Commuter Rail,2845193,135485,21,2850318,91946,31,54
2016/10/01 04:00:00+00,Rail,Green Line,4204618,200220,21,5406758.75,174412,31,55
2016/10/01 04:00:00+00,Rail,Orange Line,4614199,219724,21,5581443.8,180047,31,56
2016/10/01 04:00:00+00,Rail,Red Line,5620051,267621,21,6774528.1,218533,31,57
2016/10/01 04:00:00+00,Bus,Silver Line,715177,35759,20,777673,25086,31,58
2016/10/01 04:00:00+00,The RIDE,The RIDE,148136,7054,21,180972,5838,31,59
2016/10/01 04:00:00+00,Rail,Blue Line,1442037,68668,21,1822732,58798,31,60
2016/11/01 04:00:00+00,Rail,Blue Line,1381174,65770,21,1695374.6,56512,30,61
2016/11/01 04:00:00+00,Ferry,Boat-F1,66818,3182,21,,,30,62
2016/11/01 04:00:00+00,Ferry,Boat-F3,20214,963,21,,,30,63
2016/11/01 04:00:00+00,Ferry,Boat-F4,13222,630,21,,,30,64
2016/11/01 04:00:00+00,Bus,Bus,7403080,370154,20,8321161,277372,30,65
2016/11/01 04:00:00+00,Commuter Rail,Commuter Rail,2760800,125491,22,2775855,92529,30,66
2016/11/01 04:00:00+00,Rail,Green Line,3999842,190469,21,4949912.35,164997,30,67
2016/11/01 04:00:00+00,Rail,Orange Line,4462162,212484,21,5257746.859999999,175258,30,68
2016/11/01 04:00:00+00,Rail,Red Line,5379346,256159,21,6283477.2,209449,30,69
2016/11/01 04:00:00+00,Bus,Silver Line,683466,34173,20,704047,23468,30,70
2016/11/01 04:00:00+00,The RIDE,The RIDE,147798,7038,21,178721,5957,30,71
2016/12/01 05:00:00+00,Rail,Blue Line,1286666,61270,21,1593364.2,51399,31,72
2016/12/01 05:00:00+00,Ferry,Boat-F1,58582,2790,21,,,31,73
2016/12/01 05:00:00+00,Ferry,Boat-F3,18851,898,21,,,31,74
2016/12/01 05:00:00+00,Ferry,Boat-F4,10447,497,21,,,31,75
2016/12/01 05:00:00+00,Bus,Bus,7119231,339011,21,7732417,249432,31,76
2016/12/01 05:00:00+00,Commuter Rail,Commuter Rail,2732358,124198,22,2751074,88744,31,77
2016/12/01 05:00:00+00,Rail,Green Line,3668669,174699,21,4593935.7,148191,31,78
2016/12/01 05:00:00+00,Rail,Orange Line,4108977,195666,21,4904247.57,158202,31,79
2016/12/01 05:00:00+00,Rail,Red Line,4916564,234122,21,5834454.2,188208,31,80
2016/12/01 05:00:00+00,Bus,Silver Line,666184,31723,21,672813,21704,31,81
2016/12/01 05:00:00+00,The RIDE,The RIDE,145378,6923,21,178366,5754,31,82
2017/01/01 05:00:00+00,Rail,Blue Line,1233388,61669,20,1652563,50078,33,83
2017/01/01 05:00:00+00,Ferry,Boat-F1,63397,3019,21,,,33,84
2017/01/01 05:00:00+00,Ferry,Boat-F3,17594,838,21,,,33,85
2017/01/01 05:00:00+00,Ferry,Boat-F4,9486,452,21,,,33,86
2017/01/01 05:00:00+00,Bus,Bus,6857420,342871,20,8003644,242534,33,87
2017/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2530346,126517,20,2835036,85910,33,88
2017/01/01 05:00:00+00,Rail,Green Line,3522211,176111,20,4798905.68,145421,33,89
2017/01/01 05:00:00+00,Rail,Orange Line,4120364,206018,20,5256903.770000001,159300,33,90
2017/01/01 05:00:00+00,Rail,Red Line,4908606,245430,20,6248087,189336,33,91
2017/01/01 05:00:00+00,Bus,Silver Line,668607,33430,20,704132,21337,33,92
2017/01/01 05:00:00+00,The RIDE,The RIDE,139868,6993,20,171395,5194,33,93
2017/02/01 05:00:00+00,Rail,Blue Line,1162523,61185,19,1407076.5,50253,28,94
2017/02/01 05:00:00+00,Ferry,Boat-F1,48613,2431,20,,,28,95
2017/02/01 05:00:00+00,Ferry,Boat-F3,16303,815,20,,,28,96
2017/02/01 05:00:00+00,Ferry,Boat-F4,10328,516,20,,,28,97
2017/02/01 05:00:00+00,Bus,Bus,6320900,332679,19,7301412,260764,28,98
2017/02/01 05:00:00+00,Commuter Rail,Commuter Rail,2366827,124570,19,2566103,91647,28,99
2017/02/01 05:00:00+00,Rail,Green Line,3480091,183163,19,4465770.359999999,159492,28,100
2017/07/01 04:00:00+00,Bus,Bus,6928955,329950,21,8661443,279401,31,101
2017/07/01 04:00:00+00,Commuter Rail,Commuter Rail,2698676,134934,20,2644878,85319,31,102
2017/07/01 04:00:00+00,Rail,Green Line,3626476,181324,20,4821551.930000003,155534,31,103
2017/07/01 04:00:00+00,Rail,Orange Line,4067013,203351,20,5096206.17,164394,31,104
2017/07/01 04:00:00+00,Rail,Red Line,5145860,257293,20,6456710.2,208281,31,105
2017/07/01 04:00:00+00,Bus,Silver Line,760559,36217,21,944674,30473,31,106
2017/07/01 04:00:00+00,The RIDE,The RIDE,128361,6418,20,160754,5186,31,107
2017/07/01 04:00:00+00,Rail,Blue Line,1389657,69483,20,1882494.5,60726,31,108
2017/07/01 04:00:00+00,Ferry,Boat-F1,70720,3536,20,,,31,109
2017/08/01 04:00:00+00,Rail,Blue Line,1577814,68601,23,1910350.2,61624,31,110
2017/08/01 04:00:00+00,Ferry,Boat-F1,82468,3586,23,,,31,111
2017/08/01 04:00:00+00,Ferry,Boat-F3,43125,1875,23,,,31,112
2017/08/01 04:00:00+00,Ferry,Boat-F4,36977,1849,20,,,31,113
2017/08/01 04:00:00+00,Bus,Bus,7518350,326885,23,8927405,287981,31,114
2017/08/01 04:00:00+00,Commuter Rail,Commuter Rail,2867065,124655,23,2926175,94393,31,115
2017/08/01 04:00:00+00,Rail,Green Line,3982377,173147,23,4792516.38,154597,31,116
2017/08/01 04:00:00+00,Rail,Orange Line,4586310,199405,23,5326273.46,171815,31,117
2017/08/01 04:00:00+00,Rail,Red Line,5763699,250596,23,6692491.4,215887,31,118
2017/08/01 04:00:00+00,Bus,Silver Line,788706,34292,23,932853,30092,31,119
2017/08/01 04:00:00+00,The RIDE,The RIDE,149390,6495,23,173923,5610,31,120
2017/09/01 04:00:00+00,Rail,Blue Line,1434393,71720,20,1843973.6,61466,30,121
2017/09/01 04:00:00+00,Ferry,Boat-F1,69395,3470,20,,,30,122
2017/09/01 04:00:00+00,Ferry,Boat-F3,25149,1257,20,,,30,123
2017/09/01 04:00:00+00,Ferry,Boat-F4,26195,1310,20,,,30,124
2017/09/01 04:00:00+00,Bus,Bus,7400408,370020,20,9089873,302995,30,125
2017/09/01 04:00:00+00,Commuter Rail,Commuter Rail,2526284,126314,20,3193780,106459,30,126
2017/09/01 04:00:00+00,Rail,Green Line,3968313,198416,20,5179945.72,172665,30,127
2017/09/01 04:00:00+00,Rail,Orange Line,4413644,220682,20,5334998.9,177833,30,128
2017/09/01 04:00:00+00,Rail,Red Line,5385669,269283,20,6584520.4,219484,30,129
2017/09/01 04:00:00+00,Bus,Silver Line,663795,33190,20,837035,27901,30,130
2017/09/01 04:00:00+00,The RIDE,The RIDE,132680,6634,20,162389,5413,30,131
2017/10/01 04:00:00+00,Rail,Blue Line,1557261,70785,22,1912476.3,61693,31,132
2017/10/01 04:00:00+00,Ferry,Boat-F1,75904,3450,22,,,31,133
2017/10/01 04:00:00+00,Ferry,Boat-F3,25444,1157,22,,,31,134
2017/10/01 04:00:00+00,Ferry,Boat-F4,26442,1202,22,,,31,135
2017/10/01 04:00:00+00,Bus,Bus,8050056,365912,22,9612888,310094,31,136
2017/10/01 04:00:00+00,Commuter Rail,Commuter Rail,2756480,125295,22,2897360,93463,31,137
2017/10/01 04:00:00+00,Rail,Green Line,4169401,189518,22,5182655.649999999,167182,31,138
2017/10/01 04:00:00+00,Rail,Orange Line,4835976,219817,22,5664755.39,182734,31,139
2017/10/01 04:00:00+00,Rail,Red Line,5871799,266900,22,6841413,220691,31,140
2017/10/01 04:00:00+00,Bus,Silver Line,747702,33986,22,900333,29043,31,141
2017/10/01 04:00:00+00,The RIDE,The RIDE,145884,6631,22,173074,5583,31,142
2017/11/01 04:00:00+00,Rail,Blue Line,1407959,67046,21,1716223.8,57207,30,143
2017/11/01 04:00:00+00,Ferry,Boat-F1,67869,3232,21,,,30,144
2017/11/01 04:00:00+00,Ferry,Boat-F3,21466,1022,21,,,30,145
2017/11/01 04:00:00+00,Ferry,Boat-F4,15229,725,21,,,30,146
2017/11/01 04:00:00+00,Bus,Bus,7376706,351272,21,8778394,292614,30,147
2017/11/01 04:00:00+00,Commuter Rail,Commuter Rail,2593976,123523,21,2727852,90928,30,148
2017/11/01 04:00:00+00,Rail,Green Line,3844086,183052,21,4716823.91,157227,30,149
2017/11/01 04:00:00+00,Rail,Orange Line,4416335,210302,21,5110791.91,170360,30,150
2016/05/01 04:00:00+00,Rail,Green Line,4093428,194925,21,5218357.73,168334,31,151
2016/05/01 04:00:00+00,Rail,Orange Line,4590972,218618,21,5499944.35,177418,31,152
2016/05/01 04:00:00+00,Rail,Red Line,5508919,262329,21,6669505.5,215145,31,153
2016/05/01 04:00:00+00,Bus,Silver Line,783259,37298,21,804812,25962,31,154
2016/05/01 04:00:00+00,The RIDE,The RIDE,127655,6079,21,187396,6045,31,155
2016/06/01 04:00:00+00,Rail,Blue Line,1539983,69999,22,1863377.2,62113,30,156
2016/06/01 04:00:00+00,Ferry,Boat-F1,81229,3692,22,,,30,157
2016/06/01 04:00:00+00,Ferry,Boat-F3,29310,1332,22,,,30,158
2016/06/01 04:00:00+00,Ferry,Boat-F4,31345,1425,22,,,30,159
2016/06/01 04:00:00+00,Bus,Bus,8606097,391186,22,8630546,287685,30,160
2016/06/01 04:00:00+00,Commuter Rail,Commuter Rail,3112409,141473,22,3017496,100583,30,161
2016/06/01 04:00:00+00,Rail,Green Line,4330894,196859,22,5244417.55,174814,30,162
2016/06/01 04:00:00+00,Rail,Orange Line,4817580,218981,22,5521626.770000001,184054,30,163
2016/06/01 04:00:00+00,Rail,Red Line,5842170,265553,22,6800531.8,226684,30,164
2016/06/01 04:00:00+00,Bus,Silver Line,845464,38430,22,811355,27045,30,165
2016/06/01 04:00:00+00,The RIDE,The RIDE,159519,7251,22,188291,6276,30,166
2016/07/01 04:00:00+00,Rail,Blue Line,1396052,69803,20,1874643.1,60472,31,167
2016/07/01 04:00:00+00,Ferry,Boat-F1,74280,3714,20,,,31,168
2016/07/01 04:00:00+00,Ferry,Boat-F3,32939,1647,20,,,31,169
2016/07/01 04:00:00+00,Ferry,Boat-F4,35464,1773,20,,,31,170
2016/07/01 04:00:00+00,Bus,Bus,7105389,355269,20,8033226,259136,31,171
2016/07/01 04:00:00+00,Commuter Rail,Commuter Rail,2818964,134236,21,2745416,88562,31,172
2016/07/01 04:00:00+00,Rail,Green Line,3900944,195047,20,5174400.41,166916,31,173
2016/07/01 04:00:00+00,Rail,Orange Line,4195955,209798,20,5228146.4,168650,31,174
2016/07/01 04:00:00+00,Rail,Red Line,5234462,261723,20,6477897,208964,31,175
2016/07/01 04:00:00+00,Bus,Silver Line,744914,37246,20,784384,25303,31,176
2016/07/01 04:00:00+00,The RIDE,The RIDE,136282,6814,20,171166,5521,31,177
2016/08/01 04:00:00+00,Rail,Blue Line,1546388,67234,23,1878964.3,60612,31,178
2016/08/01 04:00:00+00,Ferry,Boat-F1,84757,3685,23,,,31,179
2016/08/01 04:00:00+00,Ferry,Boat-F3,39028,1697,23,,,31,180
2016/08/01 04:00:00+00,Ferry,Boat-F4,35787,1556,23,,,31,181
2016/08/01 04:00:00+00,Bus,Bus,8052127,350092,23,8439378,272238,31,182
2016/08/01 04:00:00+00,Commuter Rail,Commuter Rail,3014604,131070,23,3025705,97603,31,183
2016/08/01 04:00:00+00,Rail,Green Line,4194421,182366,23,5096701.95,164410,31,184
2016/08/01 04:00:00+00,Rail,Orange Line,4652556,202285,23,5350433.52,172595,31,185
2016/08/01 04:00:00+00,Rail,Red Line,5736716,249422,23,6650790,214542,31,186
2016/08/01 04:00:00+00,Bus,Silver Line,823347,35798,23,819733,26443,31,187
2016/08/01 04:00:00+00,The RIDE,The RIDE,156522,6805,23,182857,5899,31,188
2016/09/01 04:00:00+00,Rail,Blue Line,1468332,69921,21,1834012,61134,30,189
2016/09/01 04:00:00+00,Ferry,Boat-F1,71201,3236,22,,,30,190
2016/09/01 04:00:00+00,Ferry,Boat-F3,25186,1145,22,,,30,191
2016/09/01 04:00:00+00,Ferry,Boat-F4,23333,1061,22,,,30,192
2016/09/01 04:00:00+00,Bus,Bus,8186778,389847,21,8762282,292076,30,193
2016/09/01 04:00:00+00,Commuter Rail,Commuter Rail,2830550,128661,22,2830550,94352,30,194
2016/09/01 04:00:00+00,Rail,Green Line,4251458,202450,21,5365164.31,178839,30,195
2016/09/01 04:00:00+00,Rail,Orange Line,4665536,222168,21,5543596.88,184787,30,196
2016/09/01 04:00:00+00,Rail,Red Line,5665667,269794,21,6750190.4,225006,30,197
2016/09/01 04:00:00+00,Bus,Silver Line,724110,34481,21,760686,25356,30,198
2016/09/01 04:00:00+00,The RIDE,The RIDE,150322,7158,21,179775,5993,30,199
2016/10/01 04:00:00+00,Ferry,Boat-F1,69678,3318,21,,,31,200
2017/11/01 04:00:00+00,Rail,Red Line,5363767,255418,21,6203772.7,206792,30,201
2017/02/01 05:00:00+00,Rail,Orange Line,3856132,202954,19,4650823.83,166101,28,202
2017/02/01 05:00:00+00,Rail,Red Line,4668384,245704,19,5677125,202754,28,203
2017/11/01 04:00:00+00,Bus,Silver Line,689488,32833,21,836488,27883,30,204
2017/02/01 05:00:00+00,Bus,Silver Line,603358,31756,19,612411,21872,28,205
2017/11/01 04:00:00+00,The RIDE,The RIDE,138249,6583,21,165945,5532,30,206
2017/02/01 05:00:00+00,The RIDE,The RIDE,122620,6454,19,150605,5379,28,207
2017/12/01 05:00:00+00,Rail,Blue Line,1226618,61331,20,1551999.9,50065,31,208
2017/03/01 05:00:00+00,Rail,Blue Line,1425951,61998,23,1675964.7,54063,31,209
2017/12/01 05:00:00+00,Ferry,Boat-F1,55481,2774,20,,,31,210
2017/03/01 05:00:00+00,Ferry,Boat-F1,66563,2894,23,,,31,211
2017/12/01 05:00:00+00,Ferry,Boat-F3,18639,932,20,,,31,212
2017/03/01 05:00:00+00,Ferry,Boat-F3,19191,834,23,,,31,213
2017/12/01 05:00:00+00,Ferry,Boat-F4,10798,540,20,,,31,214
2017/03/01 05:00:00+00,Ferry,Boat-F4,11808,513,23,,,31,215
2017/12/01 05:00:00+00,Bus,Bus,6426027,321301,20,7942371,256206,31,216
2017/03/01 05:00:00+00,Bus,Bus,7823065,340133,23,8595017,277259,31,217
2017/12/01 05:00:00+00,Commuter Rail,Commuter Rail,2411351,120568,20,2576307,83107,31,218
2017/03/01 05:00:00+00,Commuter Rail,Commuter Rail,2742436,119236,23,3037902,97997,31,219
2017/12/01 05:00:00+00,Rail,Green Line,3260363,163018,20,4144465.63,133692,31,220
2017/03/01 05:00:00+00,Rail,Green Line,4189865,182168,23,5004618.609999999,161439,31,221
2017/12/01 05:00:00+00,Rail,Orange Line,3801709,190085,20,4599923.78,148385,31,222
2017/03/01 05:00:00+00,Rail,Orange Line,4697647,204246,23,5382112.319999999,173617,31,223
2017/12/01 05:00:00+00,Rail,Red Line,4526872,226344,20,5401888.1,174254,31,224
2017/03/01 05:00:00+00,Rail,Red Line,5718230,248619,23,6541686.4,211022,31,225
2017/12/01 05:00:00+00,Bus,Silver Line,612362,30618,20,773517,24952,31,226
2017/03/01 05:00:00+00,Bus,Silver Line,770216,33488,23,763541,24630,31,227
2017/12/01 05:00:00+00,The RIDE,The RIDE,126210,6311,20,157784,5090,31,228
2017/03/01 05:00:00+00,The RIDE,The RIDE,157978,6869,23,183220,5910,31,229
2018/01/01 05:00:00+00,Rail,Blue Line,1219373,58065,21,1563053.1,47365,33,230
2017/04/01 04:00:00+00,Rail,Blue Line,1342105,67105,20,1727232,57574,30,231
2018/01/01 05:00:00+00,Ferry,Boat-F1,37209,1691,22,,,33,232
2017/04/01 04:00:00+00,Ferry,Boat-F1,61364,3068,20,,,30,233
2018/01/01 05:00:00+00,Ferry,Boat-F3,16867,767,22,,,33,234
2017/04/01 04:00:00+00,Ferry,Boat-F3,19804,990,20,,,30,235
2018/01/01 05:00:00+00,Ferry,Boat-F4,10109,460,22,,,33,236
2017/04/01 04:00:00+00,Ferry,Boat-F4,18395,920,20,,,30,237
2018/01/01 05:00:00+00,Bus,Bus,6840788,325752,21,8217400,249012,33,238
2017/04/01 04:00:00+00,Bus,Bus,6911721,345586,20,8098478,269949,30,239
2017/04/01 04:00:00+00,Commuter Rail,Commuter Rail,2438211,121911,20,2657512,88584,30,240
2017/04/01 04:00:00+00,Rail,Green Line,3984404,199220,20,5224940.659999999,174165,30,241
2017/04/01 04:00:00+00,Rail,Orange Line,4274634,213732,20,5249508.57,174984,30,242
2017/04/01 04:00:00+00,Rail,Red Line,5240524,262026,20,6434563.4,214485,30,243
2017/04/01 04:00:00+00,Bus,Silver Line,681787,34089,20,701721,23391,30,244
2017/04/01 04:00:00+00,The RIDE,The RIDE,141060,7053,20,173945,5798,30,245
2017/05/01 04:00:00+00,Rail,Blue Line,1478593,67209,22,1809394.9,58368,31,246
2017/05/01 04:00:00+00,Ferry,Boat-F1,82776,3942,21,,,31,247
2017/05/01 04:00:00+00,Ferry,Boat-F3,22938,1092,21,,,31,248
2017/05/01 04:00:00+00,Ferry,Boat-F4,19460,927,21,,,31,249
2017/05/01 04:00:00+00,Bus,Bus,7945266,361148,22,8817889,284448,31,250
2017/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2674877,121585,22,2814199,90781,31,251
2017/05/01 04:00:00+00,Rail,Green Line,4038854,183584,22,4975702.79,160507,31,252
2017/05/01 04:00:00+00,Rail,Orange Line,4659776,211808,22,5475147.72,176618,31,253
2017/05/01 04:00:00+00,Rail,Red Line,5727275,260331,22,6744238.7,217556,31,254
2017/05/01 04:00:00+00,Bus,Silver Line,777612,35346,22,650810,20994,31,255
2017/05/01 04:00:00+00,The RIDE,The RIDE,154184,7008,22,181906,5868,31,256
2017/06/01 04:00:00+00,Rail,Blue Line,1550598,70482,22,1903550.2,63452,30,257
2017/06/01 04:00:00+00,Ferry,Boat-F1,47836,2174,22,,,30,258
2017/06/01 04:00:00+00,Ferry,Boat-F3,34252,1557,22,,,30,259
2017/06/01 04:00:00+00,Ferry,Boat-F4,36868,1676,22,,,30,260
2017/06/01 04:00:00+00,Bus,Bus,7767119,353051,22,8478556,282619,30,261
2017/06/01 04:00:00+00,Commuter Rail,Commuter Rail,2779103,126323,22,2907036,96901,30,262
2017/06/01 04:00:00+00,Rail,Green Line,4161011,189137,22,5088512.49,169617,30,263
2017/06/01 04:00:00+00,Rail,Orange Line,4672258,212375,22,5485035.09,182835,30,264
2017/06/01 04:00:00+00,Rail,Red Line,5740125,260915,22,6734743.2,224491,30,265
2017/06/01 04:00:00+00,Bus,Silver Line,766039,34820,22,682274,22742,30,266
2017/06/01 04:00:00+00,The RIDE,The RIDE,148220,6737,22,173629,5788,30,267
2017/07/01 04:00:00+00,Ferry,Boat-F3,35222,1761,20,,,31,268
2017/07/01 04:00:00+00,Ferry,Boat-F4,30236,1512,20,,,31,269
2018/01/01 05:00:00+00,Commuter Rail,Commuter Rail,2490280,118585,21,2766706,83840,33,270
2018/01/01 05:00:00+00,Rail,Green Line,3296590,156980,21,4250325.39,128798,33,271
2018/01/01 05:00:00+00,Rail,Orange Line,3957517,188453,21,4823779.3,146175,33,272
2018/01/01 05:00:00+00,Rail,Red Line,4674595,222600,21,5690572.2,172442,33,273
2018/01/01 05:00:00+00,Bus,Silver Line,635181,30247,21,786331,23828,33,274
2018/01/01 05:00:00+00,The RIDE,The RIDE,125370,5970,21,151483,4590,33,275
2018/02/01 05:00:00+00,Rail,Blue Line,1217039,64055,19,1512814.1,54029,28,276
2018/02/01 05:00:00+00,Ferry,Boat-F1,57076,2854,20,,,28,277
2018/02/01 05:00:00+00,Ferry,Boat-F3,18843,942,20,,,28,278
2018/02/01 05:00:00+00,Ferry,Boat-F4,12109,605,20,,,28,279
2018/02/01 05:00:00+00,Bus,Bus,6579569,346293,19,7965649,284488,28,280
2018/02/01 05:00:00+00,Commuter Rail,Commuter Rail,2289469,120498,19,2425717,86633,28,281
2018/02/01 05:00:00+00,Rail,Green Line,3349163,176272,19,4226532.69,150948,28,282
2018/02/01 05:00:00+00,Rail,Orange Line,3908354,205703,19,4673469.73,166910,28,283
